Setor de emissão,Categoria emissora,Sub-categoria emissora,Produto ou sistema,Detalhamento,Recorte,Atividade geral,Bioma,Emissão/Remoção/Bunker,Gás,Cidade,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Agropecuária,Cultivo de arroz,Cultivo em sistema irrigado inundado,Arroz,Vegetal,Diretas,Agricultura,Cerrado,Emissão,CH4 (t),Brasília (DF),2.9377520713022887,2.712077930180801,2.659154294257879,2.799096833724073,2.7041288643188346,3.1132615840149627,2.6652268759263102,2.0220285323082527,9.000938750569611,17.516529370119528,39.73224374718983,50.674250312736426,57.87894188992154,54.189937190481764,37.75756068234026,22.618790099255314,57.0812748016181,57.0812748016182,15.534115871928979,0.0,0.0,0.0,98.12499999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agropecuária,Fermentação entérica,Processo de digestão de animais ruminantes,Asinino,Animal,Diretas,Pecuária,Cerrado,Emissão,CH4 (t),Brasília (DF),0.6299999999999999,0.85,1.06,1.2799999999999998,1.5,0.19999999999999998,0.39,0.36,0.31,0.3,0.27,0.39,0.7599999999999999,0.84,0.85,0.7999999999999999,0.79,0.65,0.7,0.82,0.85,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.8799999999999999,0.7999999999999999,0.8799999999999999,1.0,1.0,1.0,1.0,1.0,1.05,0.9,0.7999999999999999,0.7599999999999999,0.7,0.5,0.5,0.5,0.5,0.48,1.7799999999999998,2.0399999999999996,2.29,2.55,2.8,3.0599999999999996,3.32,3.57,3.8299999999999996,4.079999999999999,4.34,4.6
Agropecuária,Fermentação entérica,Processo de digestão de animais ruminantes,Bubalino,Animal,Diretas,Pecuária,Cerrado,Emissão,CH4 (t),Brasília (DF),0.0,1.485,2.97,4.455,5.94,10.89,11.825,12.98,15.18,13.75,23.705000000000002,24.31,31.185,38.72,22.165,15.399999999999999,11.549999999999999,6.93,8.25,9.625,9.899999999999999,8.799999999999999,9.075,9.075,9.24,9.35,1.7599999999999998,1.9249999999999998,1.9249999999999998,18.59,18.7,30.25,31.79,55.0,57.74999999999999,52.47,49.49999999999999,42.78999999999999,39.82,38.5,28.38,29.15,40.7,41.24999999999999,41.525,43.23,49.225,51.26,46.805,47.465,49.279999999999994,54.834999999999994,44.385,33.935
Agropecuária,Fermentação entérica,Processo de digestão de animais ruminantes,Caprino,Animal,Diretas,Pecuária,Cerrado,Emissão,CH4 (t),Brasília (DF),2.5149999999999997,3.51,4.51,5.505,6.5,5.88,6.875,6.0,8.435,6.5,6.209999999999999,6.625,8.22,9.209999999999999,10.499999999999998,13.0,13.5,12.499999999999998,15.0,16.999999999999996,17.499999999999996,10.43,11.42,10.725,11.459999999999999,12.499999999999998,11.59,14.855,14.855,17.21,15.36,15.254999999999999,14.499999999999998,13.45,12.799999999999999,12.7,12.9,10.7,9.5,8.9,8.64,4.0,4.0,10.81,12.149999999999999,13.305,17.974999999999998,15.08,16.299999999999997,16.944999999999997,18.105,17.13,17.61,18.009999999999998
Agropecuária,Fermentação entérica,Processo de digestão de animais ruminantes,Equino,Animal,Diretas,Pecuária,Cerrado,Emissão,CH4 (t),Brasília (DF),55.854,60.786,65.736,70.66799999999999,75.6,54.396,55.872,55.836,42.48,44.1,58.068,61.758,97.55999999999999,101.34,109.8,126.0,126.0,134.99999999999997,134.99999999999997,147.6,150.29999999999998,149.76,153.0,153.0,168.3,167.4,114.786,114.84,114.84,115.2,115.2,115.2,120.6,111.6,108.0,102.6,90.0,128.7,129.6,129.6,130.86,129.6,216.0,308.91599999999994,336.51,365.76,379.44,349.956,340.056,322.72200000000004,317.952,316.836,329.292,335.23199999999997
Agropecuária,Fermentação entérica,Processo de digestão de animais ruminantes,Gado de corte,Animal,Diretas,Pecuária,Cerrado,Emissão,CH4 (t),Brasília (DF),1562.6733,1605.8340499999995,1648.92826,1691.94413,1735.1136299999998,1997.0970299999997,2102.65102,2269.2935,2721.0995799999996,2901.3878699999996,3244.69935,3424.9456999999998,3849.521739999999,4087.40424,4063.1318499999998,3896.6600299999996,4465.094979999999,4757.00814,5647.206609999999,5746.06804,4777.67301,4536.807290000001,4745.35352,6065.49094,5225.021379999999,5022.3505399999995,4699.85525,5241.51943,4460.6223199999995,4860.8556499999995,4949.6599,5027.56664,4746.38155,3914.88909,3575.63637,4283.701179999999,4293.581609999999,4477.73625,3715.82203,4439.72492,4445.15856,4188.75143,4916.51332,4055.2835499999997,4042.4698799999996,4197.676740000001,4214.51951,4043.7671800000007,4051.27245,3742.28861,3768.6246199999996,3828.91583,3827.32784,3692.6308199999994
Agropecuária,Fermentação entérica,Processo de digestão de animais ruminantes,Gado de leite,Animal,Diretas,Pecuária,Cerrado,Emissão,CH4 (t),Brasília (DF),441.92969999999997,594.6830999999999,747.4158,900.279,1052.9397,659.0366999999999,694.8306,748.9701,621.2925,639.0053999999999,1113.2396999999999,1318.9904999999999,1472.7599999999998,1277.9694,1271.2419,1140.1776,1062.3942,1115.9693999999997,1115.928,1252.4732999999999,2237.7663,2226.6756,2387.0258999999996,2188.3397399999994,3169.3089200000004,3286.7524399999998,2820.93448,2841.4299299999993,2850.23886,2469.1976099999997,2498.7932199999996,2528.07758,2578.34668,3395.4902999999995,3875.5235199999997,2344.05755,2104.59542,1922.57576,1118.02752,2027.4212499999996,1988.4330699999998,1793.88408,953.16308,2191.4046,2130.69493,1743.42852,1752.19812,1695.3360599999999,1473.3087899999998,1399.4714399999998,1396.15599,1423.9732199999999,1395.09021,895.3656
Agropecuária,Fermentação entérica,Processo de digestão de animais ruminantes,Muar,Animal,Diretas,Pecuária,Cerrado,Emissão,CH4 (t),Brasília (DF),2.23,3.42,4.62,5.8100000000000005,6.999999999999999,1.6099999999999999,1.5299999999999998,1.55,2.18,2.5,1.8399999999999999,2.5399999999999996,3.21,3.63,2.6999999999999997,2.8,2.8,2.9,3.1999999999999997,3.4999999999999996,3.8,3.6,3.6,3.6,3.9,3.8,1.9099999999999997,2.0,2.0,2.1,2.1999999999999997,2.1999999999999997,2.31,2.0,1.8,1.7,1.5999999999999999,1.68,1.7,1.7,1.7,1.5999999999999999,7.24,8.35,9.459999999999999,10.56,11.67,12.78,13.889999999999999,15.0,16.1,17.21,18.32,19.43
Agropecuária,Fermentação entérica,Processo de digestão de animais ruminantes,Ovino,Animal,Diretas,Pecuária,Cerrado,Emissão,CH4 (t),Brasília (DF),0.9199999999999999,1.9649999999999996,3.01,4.055,5.1,5.15,6.265,5.249999999999999,4.75,3.65,8.345,8.66,10.7,11.700000000000001,12.0,13.0,12.499999999999998,12.499999999999998,15.0,13.999999999999998,12.499999999999998,14.14,14.424999999999999,15.225,13.94,13.999999999999998,19.67,26.099999999999998,32.864999999999995,37.475,41.62499999999999,56.589999999999996,67.35,75.1,87.5,80.1,95.0,99.95,90.0,105.0,102.07999999999998,52.5,55.0,70.765,79.015,90.795,119.69,106.335,106.77499999999999,109.14,114.33,111.445,108.53999999999999,95.525
Agropecuária,Fermentação entérica,Processo de digestão de animais ruminantes,Suínos,Animal,Diretas,Pecuária,Cerrado,Emissão,CH4 (t),Brasília (DF),14.381,15.785999999999998,17.19,18.595,20.0,22.366,24.427999999999997,20.951999999999998,19.7,14.499999999999998,32.614999999999995,30.703999999999997,32.584,28.729999999999997,26.5,34.867999999999995,34.55,51.807,49.81999999999999,51.199999999999996,35.007,38.279,41.749,46.535,50.534,54.169999999999995,86.0,111.99999999999999,102.919,105.876,112.065,126.51399999999998,131.6,131.17999999999998,119.95,112.719,136.69,145.114,119.0,151.17,156.70000000000002,207.873,94.18,100.91499999999999,163.98499999999999,155.96599999999998,168.39399999999998,172.619,151.827,151.981,186.698,171.098,172.96499999999997,139.36599999999999
